Epoch	Learning Rate	Train Loss	Train Acc.	Test Loss	Test Acc.	
1.000000	0.100000	1.125375	0.556195	0.000000	0.000000	
2.000000	0.100000	0.567667	0.804565	0.000000	0.000000	
3.000000	0.100000	0.279912	0.905447	0.000000	0.000000	
4.000000	0.100000	0.215436	0.924242	0.000000	0.000000	
5.000000	0.100000	0.162231	0.943805	0.000000	0.000000	
6.000000	0.100000	0.156507	0.944956	0.000000	0.000000	
7.000000	0.100000	0.142556	0.951093	0.000000	0.000000	
8.000000	0.100000	0.102659	0.962409	0.000000	0.000000	
9.000000	0.100000	0.123050	0.957039	0.000000	0.000000	
10.000000	0.100000	0.098188	0.965286	0.000000	0.000000	
11.000000	0.100000	0.085196	0.969313	0.000000	0.000000	
12.000000	0.100000	0.078734	0.970464	0.000000	0.000000	
13.000000	0.100000	0.074562	0.974300	0.000000	0.000000	
14.000000	0.100000	0.079813	0.971040	0.000000	0.000000	
15.000000	0.100000	0.090958	0.966245	0.000000	0.000000	
16.000000	0.100000	0.079454	0.972957	0.000000	0.000000	
17.000000	0.100000	0.065997	0.979095	0.000000	0.000000	
18.000000	0.100000	0.061506	0.976218	0.000000	0.000000	
19.000000	0.100000	0.076814	0.970272	0.000000	0.000000	
20.000000	0.100000	0.066915	0.977560	0.000000	0.000000	
21.000000	0.100000	0.086451	0.967971	0.000000	0.000000	
22.000000	0.100000	0.090909	0.966628	0.000000	0.000000	
23.000000	0.100000	0.090184	0.967779	0.000000	0.000000	
24.000000	0.100000	0.066010	0.976601	0.000000	0.000000	
25.000000	0.100000	0.075912	0.974300	0.000000	0.000000	
26.000000	0.100000	0.055922	0.980437	0.000000	0.000000	
27.000000	0.100000	0.052670	0.981396	0.000000	0.000000	
28.000000	0.100000	0.061648	0.977177	0.000000	0.000000	
29.000000	0.100000	0.037282	0.987917	0.000000	0.000000	
30.000000	0.100000	0.045342	0.984848	0.000000	0.000000	
31.000000	0.010000	0.017678	0.995205	0.000000	0.000000	
32.000000	0.010000	0.007791	0.999041	0.000000	0.000000	
33.000000	0.010000	0.006468	0.999616	0.000000	0.000000	
34.000000	0.010000	0.005123	0.999808	0.000000	0.000000	
35.000000	0.010000	0.005121	0.999425	0.000000	0.000000	
36.000000	0.010000	0.004633	0.999808	0.000000	0.000000	
37.000000	0.010000	0.004362	1.000000	0.000000	0.000000	
38.000000	0.010000	0.004118	1.000000	0.000000	0.000000	
39.000000	0.010000	0.004075	0.999808	0.000000	0.000000	
40.000000	0.010000	0.003945	1.000000	0.000000	0.000000	
41.000000	0.010000	0.003612	1.000000	0.000000	0.000000	
42.000000	0.010000	0.003531	1.000000	0.000000	0.000000	
43.000000	0.010000	0.003641	1.000000	0.000000	0.000000	
44.000000	0.010000	0.003348	1.000000	0.000000	0.000000	
45.000000	0.010000	0.003424	1.000000	0.000000	0.000000	
46.000000	0.010000	0.003356	1.000000	0.000000	0.000000	
47.000000	0.010000	0.003294	1.000000	0.000000	0.000000	
48.000000	0.010000	0.003320	1.000000	0.000000	0.000000	
49.000000	0.010000	0.003237	1.000000	0.000000	0.000000	
50.000000	0.010000	0.003212	1.000000	0.000000	0.000000	
51.000000	0.010000	0.003443	1.000000	0.000000	0.000000	
52.000000	0.010000	0.003054	1.000000	0.000000	0.000000	
53.000000	0.010000	0.003137	1.000000	0.000000	0.000000	
54.000000	0.010000	0.003221	1.000000	0.000000	0.000000	
55.000000	0.010000	0.003115	1.000000	0.000000	0.000000	
56.000000	0.010000	0.003182	1.000000	0.000000	0.000000	
57.000000	0.010000	0.003108	1.000000	0.000000	0.000000	
58.000000	0.010000	0.003180	1.000000	0.000000	0.000000	
59.000000	0.010000	0.003069	1.000000	0.000000	0.000000	
60.000000	0.010000	0.003049	1.000000	0.000000	0.000000	
61.000000	0.001000	0.002980	1.000000	0.000000	0.000000	
62.000000	0.001000	0.003030	1.000000	0.000000	0.000000	
